2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['艺术', '849542', 'https://book.douban.com/tag/艺术', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['社会', '810536', 'https://book.douban.com/tag/社会', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['政治', '627449', 'https://book.douban.com/tag/政治', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['设计', '526376', 'https://book.douban.com/tag/设计', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['政治学', '408484', 'https://book.douban.com/tag/政治学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['宗教', '366529', 'https://book.douban.com/tag/宗教', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['电影', '351318', 'https://book.douban.com/tag/电影', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['建筑', '351109', 'https://book.douban.com/tag/建筑', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['中国历史', '343347', 'https://book.douban.com/tag/中国历史', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['数学', '332617', 'https://book.douban.com/tag/数学', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['回忆录', '290539', 'https://book.douban.com/tag/回忆录', 3]
2022-09-19 22:48:42 | MainProcess | MainThread | category.py | category.parse:38 | SUCCESS: 数据保存成功[c_category]: ['思想', '249382', 'https://book.douban.com/tag/思想', 3]
