2022-09-22 21:03:45 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/1068308/
2022-09-22 21:03:45 | MainProcess | MainThread | book.py | book.parse_item:69 | ERROR: None
2022-09-22 21:03:45 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/1052380/
2022-09-22 21:03:45 | MainProcess | MainThread | book.py | book.parse_item:69 | ERROR: None
2022-09-22 21:04:33 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com
2022-09-22 21:04:33 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:04:35 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/35389475/
2022-09-22 21:04:35 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:04:36 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/26582936/
2022-09-22 21:04:36 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:04:37 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/3288009/
2022-09-22 21:04:37 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:04:37 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/24870698/
2022-09-22 21:04:37 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:04:38 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/subject/4167914/
2022-09-22 21:04:38 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:09:12 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com
2022-09-22 21:09:12 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:10:01 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/annual/2021?source=navigation
2022-09-22 21:10:01 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:10:01 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/annual/2021?source=book_navigation
2022-09-22 21:10:01 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:12:47 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com
2022-09-22 21:12:47 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:13:49 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/annual/2021?source=book_navigation
2022-09-22 21:13:49 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:14:26 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/annual/2021?source=navigation
2022-09-22 21:14:26 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:14:26 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/?view=cloud
2022-09-22 21:14:26 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:14:28 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/%E5%A4%96%E5%9B%BD%E6%96%87%E5%AD%A6?start=20&type=T
2022-09-22 21:14:28 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
2022-09-22 21:14:28 | MainProcess | MainThread | book.py | book.parse_item:67 | ERROR: 'NoneType' object has no attribute 'split', 错误链接: https://book.douban.com/tag/Haruki
2022-09-22 21:14:28 | MainProcess | MainThread | book.py | book.parse_item:68 | ERROR: None
